"","comicName","comicSummary","comicGrade"
"292","썰삽니다!PM사무소","이야기를 삽니다!","9.85"
"293","네,아직아파요","정병러 그림 일기","9.47"
"294","루텔","력家네","9.90"
"295","한국프로야구사","프로야구 역사만화","9.52"
"296","썸라대왕","현대로맨스판타지","9.55"
"297","루커피쳐","꿈이 뭐예요?","9.89"
"298","크림슨크로스","희망의 가치.","9.77"
"299","달콩달콩일상","바카와 호두","9.82"
"300","뿅가이","간다 간다 뿅간다","9.86"
"301","도례(道禮)","초능력의 기원","8.71"
"302","흑묘","검은 고양이 사냥꾼","9.73"
"303","얼어붙은아로와향기","청춘들의 쿨 로맨스","8.85"
"304","39℃","꿈을 이루는 끈기","7.84"
"305","우주n은하","우주에서 온 소녀들","9.86"
"306","찬란의날","'칩'이 나타났다.","9.84"
"307","곰팡남녀","보통의 경계","9.89"
"308","어쩌다햄스터","초보집사와 초보주인","9.81"
"309","좋아하는거참으면병나요!","좋아하는건 못참아","9.70"
"310","CAFE_쉬어가게","누구나 쉬어가는 곳","9.78"
"311","열여섯과스물그사이","툭탁 격정 로맨스","8.98"
"312","천사는야옹","고양이가 사실 천사","9.89"
"313","타고난자","우리의 그 시절","9.60"
"314","업사이클다이어리","버리면 애물단지 손대면 나만의 예술작품","9.68"
"315","누나한입만화","4컷 일상 먹툰","9.90"
"316","나는부활마법을가졌다","부활판타지","9.86"
"317","좀비가된세상에서마법사는","좀비와 마법사","9.29"
"318","디나운스","패션, 드라마","9.75"
"319","어둠의창","어둠의 끝에서...","9.55"
"320","너어는지인짜","당근 맛집","9.68"
"321","백일몽화원","7,17,27일연재","9.70"
"322","개판오분전","즐겨요이기분","9.65"
"323","흙수저를위한나라는없다","흙수저 성장기","9.50"
"324","왕립루브리카종합학원","판타지학원물","9.90"
"325","싸카소녀","소녀들의 스뽀오츠!","9.84"
"326","종이를주웠다","종이의 성장과 사랑","9.64"
"327","월국(月國)의프락세이스","소년과 세계,스피릿","9.63"
"328","고냥고냥","취준생 고냥이","9.90"
"329","금잔화가피는여름","동양 판타지","9.24"
"330","지나치게달콤한","알바생VS아이돌","9.86"
"331","악인","현대판타지 스릴러","9.78"
"332","야귀록","귀신과 사람이야기","9.75"
"333","무쇠후라이팬","무쇠팬 쓰는 남자","9.90"
"334","어쩌다보니용사가","용사가 허접 쩌리?","9.64"
"335","개인적인택시","음악이 흐르는 택시","9.89"
"336","이클립스","자유연재","9.86"
"337","졸렬☆다이나믹","다이나믹 초딩들","9.90"
"338","어느새대학생","미대생의 대학생활","9.31"
"339","비공략캐릭터를공략하는방법","게임캐를 공략하라!","9.25"
"340","광고감독의발암일기","광고감독의 웃픈일상","9.65"
"341","고양이마법학교","마법배우는 고양이들","9.79"
"342","아수라게이트","아수라 죽이기","9.46"
"343","날개부러진새의노래","타인이 되는 두남녀","9.53"
"344","수능0등급","고3 vs 테러범","9.08"
"345","휠오브포춘","운명의 굴레","9.73"
"346","라텔론","근미래속의 마법사","9.25"
"347","헨젤","지옥을 거니는 천사.","8.90"
"348","빨간물고기","엄마에 대한 애증","9.89"
"349","심연","비윤리적인 실험","9.76"
"350","우당탕탕재끼일상","부부,일상,공감","9.49"
"351","달맞이꽃","동양판타지","9.82"
"352","용사님이시다","정통 판타지 만화?","9.85"
"353","능력안경","안경장르 만화","9.90"
"354","풋내기들","청춘하숙 로맨스","9.53"
"355","마이데이","순정,학업로맨스","9.68"
"356","이상징후(異常徵候)","초능력이 아닙니다.","9.85"
"357","애니메이킹","애니메이션 만들기","9.51"
"358","꽃밭에서","잊어버린 것","9.87"
"359","궤짝","어두운본성을마주하다","9.79"
"360","연애일기","소소한 연애 일상","9.90"
"361","블랙펄","죽지못하는 용병","9.72"
"362","집에가고싶다","집곰팡이의 일상","9.89"
"363","웨일즈","인어와 인어사냥꾼","9.89"
"364","똥두","사춘기 소녀의 일상","9.69"
"365","잘먹는가","먹는게 낙인 가족들","9.77"
"366","지나온길","학원 성장 드라마","9.37"
"367","여자공수혁","수혁이 학원기","9.90"
"368","망생이전투","기계가 일해주는줄","9.66"
"369","자체공강","대학물인척하는 만화","9.86"
"370","흐르는바닷불처럼","해귀에게서 살아남기","9.78"
"371","날것","해묵은 그림 일기장","8.77"
"372","월혼","여우인간의 생존사투","9.73"
"373","저승화랑전","악덕 상사와 나","9.90"
"374","버그트레인","NPC들의 생존기","9.84"
"375","처음이잖아","괜찮아. 처음이잖아","9.52"
"376","新조선왕조실록","조선왕조인계자이야기","9.83"
"377","저주와별가루","저주와 별가루","9.74"
"378","상그미상","일상툰!","9.89"
"379","엔드시즌","초딩들의 야구","9.56"
"380","강가네","사남매 가족 적응기","9.89"
"381","겨까게사랑한다","반려묘와자취라이프","9.49"
"382","판타스틱시니어","로라의 성장","9.88"
"383","마족사제","사제님은 마족?","9.89"
"384","위치파이와미드나잇주스","내 인생은 내 인생","9.84"
"385","번혼","용이 되어라!","9.09"
"386","용아","능력자 판타지","8.91"
"387","단편들","단편만화","9.90"
"388","발버둥치다","우울증 이야기","9.89"
"389","너나들이","20대남녀연애이야기","9.87"
"390","오마이갓","신을 뽑는 오디션","9.58"
"391","이웃집유부녀","일상툰","9.90"
"392","아옹아옹","두식이 냥육일기","9.86"
"393","여기야!헤드볼빌리지","헤드볼친구들의대모험","9.05"
"394","마왕이되는방법","자유연재","9.83"
"395","예쁜사나이","예쁜 사나이","9.58"
"396","쌍둥이부부일기","똑닮은 가족 일기","9.87"
"397","꿈무덤","꿈 속의 이야기","9.81"
"398","빨간고백","돌아온 너에게","9.74"
"399","오늘밤야식을먹는다","오늘밤 야식 어때?","9.45"
"400","라떼는말이야","흑역사 파티원 모집","9.71"
"401","일주일지구체험","외계인과의 일주일","9.77"
"402","여캠조수희","일상 스릴러","9.49"
"403","베트남프렌즈여행기","여행장려웹툰","9.86"
"404","정령왕즈","정령왕들이 조잘조잘","9.88"
"405","횡설수설다이어리","40대 가장의 일상","9.33"
"406","나의애니메이터이야기","나는 애니메이터","9.45"
"407","할짝심리학","심리학 겉핥기","9.88"
"408","조선귀변사","사도세자의 퇴마기","9.55"
"409","저승길잡이","이승과 저승의 경계","9.90"
"410","아케미아아카데미","연금술사,학원물","9.86"
"411","너는나의나는너의수호천사","로맨스판타지","9.88"
"412","냥만연애툰","귀욤뽀짝 개그일상툰","9.53"
"413","나의스위치메이트","바디체인지 로맨스","9.89"
"414","52번지몬스터","설렘살벌 로맨스릴러","9.71"
"415","여왕의계절","시대극 판타지 웹툰","9.87"
"416","엑스트라Z씨","Z씨의 발버둥","9.90"
"417","과한가족","조금 과한 그들","9.88"
